date,label,nb_visits,entry_nb_visits,exit_nb_visits
NA,"api/1/spatial/zones/fr/region/06,fr/county/971,fr/region/04,fr/county/973,fr/region/02",227,1,0
NA,api/1/discussions/?for=558ea140c751df2d9aa453f7,225,0,1
NA,api/1/spatial/zone/country-group/ue,225,0,0
NA,api/1/spatial/zone/country-group/world,225,0,0
NA,api/1/spatial/zone/country-subset/fr/metro,225,0,1
NA,api/1/spatial/zone/country/fr,225,0,0
NA,fr/datasets/thematique-elections-municipales/index,224,64,41
NA,en/index,222,54,67
NA,fr/organizations/societe-du-grand-paris/index,222,203,132
NA,api/1/discussions/?for=551d4ff3c751df55da0cd89f,221,0,4
NA,"api/1/spatial/zones/country-subset/fr/metro,country-subset/fr/domtom,country/fr",220,0,0
NA,api/1/spatial/zones/fr/epci/200039865,218,1,1
NA,fr/reuses/carte-des-logements-sociaux-finances-par-la-ville-de-paris/index,218,214,126
NA,api/1/spatial/zones/fr/county/22,216,0,0
NA,api/1/spatial/zones/fr/county/41,216,0,1
NA,fr/datasets/kml-des-communes-y-compris-dom-tom/index,216,166,87
NA,api/1/discussions/?for=536cc425a3a72938e9a8e959,214,0,1
NA,login/?message=Vous devez être authentifié pour vous abonner&next=https:/www.data.gouv.fr/fr/datasets/ - Autres,214,15,49
NA,fr/datasets/communes-nouvelles-et-fusions-2017/index,212,96,90
NA,fr/datasets/comptes-des-partis-et-groupements-politiques/index,211,170,113
NA,login/?next=http:/www.data.gouv.fr/fr/index,211,58,62
NA,api/1/discussions/?for=586d12b1c751df2b552b7154,205,2,2
NA,password/reset/done/index,205,17,88
NA,api/1/spatial/zone/fr/region/73,204,0,0
NA,password/reset/index,204,1,15
NA,api/1/discussions/?for=57868f03a3a7295d371add42,200,0,0
NA,fr/datasets/etablissements-denseignement-superieur-2/index,200,176,116
NA,fr/reuses/carte-interactive-de-la-couverture-4g-3g-2g-par-commune-et-par-operateur/index,198,189,67
NA,api/1/spatial/zones/fr/region/52,196,0,0
NA,api/1/spatial/zones/fr/town/93045,195,0,0
NA,api/1/discussions/?for=5784b03cc751df4306f3855d,194,0,1
NA,fr/datasets/prix-des-carburants-en-france/index,194,83,86
NA,api/1/spatial/zones/fr/town/92048,192,1,1
NA,api/1/discussions/?for=53699158a3a729239d203c2f,191,0,0
NA,fr/datasets/liste-des-maires/index,191,122,81
NA,api/1/discussions/?for=53699924a3a729239d205175,189,0,0
NA,fr/datasets/liste-des-prenoms-par-annee-prs/index,189,163,114
NA,es/datasets/ - Autres,187,98,92
NA,api/1/discussions/?for=53ba4c07a3a729219b7bead3,186,0,0
NA,api/1/spatial/zones/fr/county/93,186,0,0
NA,fr/organizations/infogreffe/index,185,147,109
NA,fr/reuses/communes-de-france-et-code-insee-1/index,184,130,89
NA,"api/1/spatial/zones/country/fr,country-subset/fr/dom,fr/county/988,fr/county/987",183,0,0
NA,fr/datasets/permis-de-construire-pc-permis-d-amenager-pa-et-declaration-prealable-dp-sit-del2/index,179,112,90
NA,api/1/datasets/5862206588ee38254d3f4e5e/index,175,2,0
NA,api/1/discussions/?for=55d5fec588ee382817a46ec1,175,0,0
NA,fr/datasets/elections-presidentielles-1965-2012-1/index,174,94,56
NA,api/1/datasets/index,172,17,7
NA,api/1/discussions/?for=53699949a3a729239d2051f1,172,0,0
NA,api/1/datasets/community_resources/ - Autres,171,0,1
NA,"api/1/spatial/zones/country-group/ue,fr/region/06,fr/region/03,fr/region/04,fr/region/01,fr/region/02",170,0,0
NA,fr/datasets/chiffres-du-registre-des-francais-etablis-hors-de-france-2013-2016/index,170,162,76
NA,"api/1/spatial/zones/country/fr,fr/region/03,fr/region/02,fr/region/04,fr/region/01",169,0,0
NA,api/1/spatial/zones/fr/town/13055,169,0,0
NA,api/1/organizations/57ff946788ee384fa45ff490/index,168,0,1
NA,fr/topics/logement-developpement-durable-et-energie/datasets?page=2,168,2,29
NA,"api/1/spatial/zones/fr/region/06,fr/region/04,fr/region/03,fr/region/02,fr/region/01,country/fr",167,0,0
NA,fr/datasets/emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france/index,167,83,59
NA,fr/datasets/impots-locaux-fichier-de-recensement-des-elements-dimposition-a-la-fiscalite-directe-locale-rei-3/index,166,141,103
NA,fr/datasets/une-carte-a-13-regions/index,165,156,143
NA,api/1/organizations/58ab6ab2c751df5b7bf7e8d0/ - Autres,164,0,0
NA,fr/datasets/hotels-classes-en-france/index,164,76,46
NA,fr/terms/index,164,18,59
NA,fr/datasets/crimes-et-delits-enregistres-par-les-services-de-gendarmerie-et-de-police-depuis-2012/index,162,127,63
NA,fr/topics/economie-et-emploi/datasets?page=2,161,2,18
NA,fr/datasets/open-damir-base-complete-sur-les-depenses-dassurance-maladie-inter-regimes/index,159,78,57
NA,fr/reuses/carte-interactive-des-nouveaux-cantons/index,159,141,58
NA,fr/topics/territoires-et-transports/datasets?page=3,157,2,13
NA,api/1/oembeds/?references=dataset-58d2f1cbc751df71d2ce9186,156,0,2
NA,"api/1/spatial/zones/country-subset/fr/metro,country-subset/fr/domtom",156,4,0
NA,api/1/discussions/?for=56e29c3f88ee3847b9cfd996,155,0,1
NA,api/1/organizations/534fffa5a3a7292c64a7809e/ - Autres,154,0,0
NA,fr/datasets/?sort=-created,152,6,13
